Name,Lev,Tm,VH,Opp,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS
Brett Eibner,MLB-AL,Oakland,0,Houston,1,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
Jake Elmore,MLB-NL,Milwaukee,0,Pittsburgh,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Edwin Encarnacion,MLB-AL,Toronto,1,Seattle,1,5,5,1,2,1,0,1,3,0,0,1,0,0,0,0,0,0
Alcides Escobar,MLB-AL,Kansas City,1,Cleveland,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eduardo Escobar,MLB-AL,Minnesota,0,Detroit,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yunel Escobar,MLB-AL,Los Angeles,1,Texas,1,5,5,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0
Danny Espinosa,MLB-NL,Washington,1,Miami,1,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Andre Ethier,MLB-NL,Los Angeles,0,San Francisco,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jose Fernandez,MLB-NL,Miami,0,Washington,1,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Tyler Flowers,MLB-NL,Atlanta,1,New York,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan Forsythe,MLB-AL,Tampa Bay,0,New York,1,4,4,2,2,0,1,0,0,0,0,2,0,0,0,0,0,0
Dexter Fowler,MLB-NL,Chicago,0,Cincinnati,1,5,3,2,2,0,0,0,1,2,0,0,0,0,0,0,1,0
