Date,VH,Team,Pitcher,Open
2017-04-21,H,COL,TCHATWOOD-R,-104
2017-04-21,V,LOS,AWOOD-L,-132
2017-04-21,H,ARI,TWALKER-R,117
2017-04-21,V,MIA,ACONLEY-L,-126
2017-04-21,H,SDG,TCAHILL-R,111
2017-04-21,V,BOS,DPOMERANZ-L,112
2017-04-21,H,BAL,DBUNDY-R,-127
2017-04-21,V,HOU,MFIERS-R,-101
2017-04-21,H,TAM,ACOBB-R,-109
2017-04-21,V,KAN,NKARNS-R,134
2017-04-21,H,TEX,CHAMELS-L,-149
2017-04-21,V,CLE,CKLUBER-R,-149
2017-04-21,H,CWS,JQUINTANA-L,134
2017-04-21,V,DET,JVERLANDER-R,-119
2017-04-21,H,MIN,HSANTIAGO-L,109
2017-04-21,V,TOR,MLATOS-R,114
2017-04-21,H,LAA,AMEYER-R,-124
2017-04-21,V,SEA,HIWAKUMA-R,111
2017-04-21,H,OAK,SMANAEA-L,-121
2017-04-21,V,NYY,CSABATHIA-L,-105
2017-04-21,H,PIT,TGLASNOW-R,-105
2017-04-22,V,CUB,JARRIETA-R,-171
2017-04-22,H,CIN,CREED-L,151
2017-04-22,V,WAS,GGONZALEZ-L,112
2017-04-22,H,NYM,JDEGROM-R,-122
2017-04-22,V,ATL,JGARCIA-L,111
2017-04-22,H,PHI,JEICKHOFF-R,-126
2017-04-22,V,STL,LLYNN-R,-112
2017-04-22,H,MIL,CANDERSON-R,102
2017-04-22,V,LOS,KMAEDA-R,-104
2017-04-22,H,ARI,RRAY-L,-106
2017-04-22,V,SFO,MMOORE-L,106
2017-04-22,H,COL,ASENZATELA-R,-116
2017-04-22,V,MIA,DSTRAILY-R,-117
2017-04-22,H,SDG,JWEAVER-R,107
2017-04-22,V,HOU,CMORTON-R,-107
2017-04-22,H,TAM,BSNELL-L,-103
2017-04-22,V,CLE,CCARRASCO-R,-185
2017-04-22,H,CWS,MPELFREY-R,165
2017-04-22,V,DET,MBOYD-L,-106
2017-04-22,H,MIN,AMEJIA-L,-104
2017-04-22,V,SEA,AMIRANDA-L,111
2017-04-22,H,OAK,JCOTTON-R,-121
2017-04-22,V,KAN,IKENNEDY-R,112
2017-04-22,H,TEX,NMARTINEZ-R,-122
2017-04-22,V,BOS,SWRIGHT-R,106
2017-04-22,H,BAL,JAQUINO-L,-116
2017-04-22,V,TOR,CLAWRENCE-R,126
2017-04-22,H,LAA,TSKAGGS-L,-141
2017-04-22,V,NYY,MPINEDA-R,109
2017-04-22,H,PIT,JTAILLON-R,-119
2017-04-23,V,CUB,JLACKEY-R,-166
2017-04-23,H,CIN,BARROYO-R,146
2017-04-23,V,ATL,MFOLTYNEWICZ-R,-101
2017-04-23,H,PHI,ZEFLIN-R,-109
2017-04-23,V,STL,MLEAKE-R,-110
2017-04-23,H,MIL,JNELSON-R,100
2017-04-23,V,SFO,JSAMARDZIJA-R,-109
2017-04-23,H,COL,KFREELAND-L,-101
2017-04-23,V,LOS,BMCCARTHY-R,-125
2017-04-23,H,ARI,SMILLER-R,110
2017-04-23,V,MIA,TKOEHLER-R,-111
2017-04-23,H,SDG,LPERDOMO-R,101
2017-04-23,V,WAS,MSCHERZER-R,-150
2017-04-23,H,NYM,ZWHEELER-R,135
2017-04-23,V,HOU,JMUSGROVE-R,105
2017-04-23,H,TAM,MANDRIESE-R,-115
2017-04-23,V,CLE,DSALAZAR-R,-170
2017-04-23,H,CWS,DHOLLAND-L,150
2017-04-23,V,BOS,ERODRIGUEZ-L,111
2017-04-23,H,BAL,KGAUSMAN-R,-126
2017-04-23,V,DET,MFULMER-R,-109
2017-04-23,H,MIN,KGIBSON-R,-101
2017-04-23,V,TOR,MSTROMAN-R,-126
2017-04-23,H,LAA,DWRIGHT-R,111
2017-04-23,V,SEA,YGALLARDO-R,111
2017-04-23,H,OAK,ATRIGGS-R,-126
2017-04-23,V,KAN,JHAMMEL-R,141
2017-04-23,H,TEX,YDARVISH-R,-161
2017-04-23,V,NYY,JMONTGOMERY-L,115
2017-04-23,H,PIT,INOVA-R,-130
2017-04-24,V,CUB,BANDERSON-L,-117
2017-04-24,H,PIT,CKUHL-R,107
2017-04-24,V,CIN,AGARRETT-L,-111
2017-04-24,H,MIL,MGARZA-R,101
