Date,Team,PITCHER
2019-04-20,SDG,Lauer
2019-04-20,KAN,Fillmyer
2019-04-20,NYY,Tanaka
2019-04-20,TOR,Shoemaker
2019-04-20,OAK,Fiers
2019-04-20,BOS,Porcello
2019-04-20,TAM,Morton
2019-04-20,MIN,Perez
2019-04-20,BAL,Cobb
2019-04-20,HOU,Cole
2019-04-20,TEX,Sampson
2019-04-20,SEA,Kikuchi
2019-04-20,LAA,Cahill
2019-04-20,ATL,Teheran
2019-04-20,CLE,Kluber
2019-04-20,ATL,Ndecid
2019-04-20,CLE,Bauer
2019-04-20,MIN,Berrios
2019-04-20,BAL,Straily
2019-04-21,WAS,Strasburg
2019-04-21,MIA,Richards
2019-04-21,SFO,Rodriguez
2019-04-21,PIT,Archer
2019-04-21,LAD,Kershaw
2019-04-21,MIL,Woodruff
2019-04-21,NYM,Syndergaard
2019-04-21,STL,Hudson
2019-04-21,ARI,Ray
2019-04-21,CUB,Chatwood
2019-04-21,PHI,Eickhoff
2019-04-21,COL,Gray
2019-04-21,CIN,Mahle
2019-04-21,SDG,Lucchesi
2019-04-21,MIN,Gibson
2019-04-21,BAL,Bundy
2019-04-21,KAN,Lopez
2019-04-21,NYY,Paxton
2019-04-21,CWS,Lopez
2019-04-21,DET,Norris
2019-04-21,BOS,Price
2019-04-21,TAM,Glasnow
2019-04-21,HOU,Mchugh
2019-04-21,TEX,Miller
2019-04-21,TOR,Sanchez
2019-04-21,OAK,Anderson
2019-04-21,SEA,Leake
2019-04-21,LAA,Robles
2019-04-21,ATL,Fried
2019-04-21,CLE,Bieber
2019-04-22,ARI,Godley
2019-04-22,PIT,Musgrove
2019-04-22,PHI,Arrieta
2019-04-22,NYM,Matz
2019-04-22,MIL,Houser
2019-04-22,STL,Flaherty
2019-04-22,WAS,Hellickson
2019-04-22,COL,Anderson
2019-04-22,CWS,Banuelos
2019-04-22,BAL,Hess
2019-04-22,KAN,Keller
2019-04-22,TAM,Chirinos
2019-04-22,MIN,Odorizzi
2019-04-22,HOU,Peacock
2019-04-22,NYY,Happ
2019-04-22,LAA,Harvey
2019-04-22,TEX,Minor
2019-04-22,OAK,Bassitt
2019-04-23,ATL,Gausman
2019-04-23,CIN,Gray
2019-04-23,ARI,Weaver
2019-04-23,PIT,Williams
2019-04-23,PHI,Eflin
2019-04-23,NYM,Wheeler
2019-04-23,MIL,Davies
2019-04-23,STL,oncedeleo
2019-04-23,LAD,Maeda
2019-04-23,CUB,Quintana
2019-04-23,WAS,Corbin
2019-04-23,COL,Hoffman
2019-04-23,CWS,Nova
2019-04-23,BAL,Cashner
2019-04-23,KAN,Bailey
2019-04-23,TAM,Stanek
2019-04-23,DET,Turnbull
2019-04-23,BOS,Velazquez
2019-04-23,MIN,Pineda
2019-04-23,HOU,Miley
2019-04-23,NYY,German
2019-04-23,LAA,Stratton
2019-04-23,TEX,Lynn
2019-04-23,OAK,Montas
2019-04-23,SFO,Samardzija
2019-04-23,TOR,Thornton
2019-04-23,MIA,Lopez
2019-04-23,CLE,Carrasco
2019-04-23,SEA,Swanson
2019-04-23,SDG,Margevicius
2019-04-23,DET,Boyd
2019-04-23,BOS,Sale
2019-04-24,MIL,Chacin
2019-04-24,STL,Wainwright
2019-04-24,WAS,Sanchez
2019-04-24,COL,Marquez
2019-04-24,ATL,Soroka
2019-04-24,CIN,Roark
2019-04-24,ARI,Kelly
2019-04-24,PIT,Lyles
2019-04-24,PHI,Velasquez
2019-04-24,NYM,Vargas
2019-04-24,LAD,Buehler
2019-04-24,CUB,Hamels
2019-04-24,KAN,Junis
2019-04-24,TAM,Snell
2019-04-24,TEX,Dowdy
2019-04-24,OAK,Brooks
2019-04-24,CWS,Santana
2019-04-24,BAL,Means
2019-04-24,DET,Ross
2019-04-24,BOS,Rodriguez
2019-04-24,MIN,Stewart
2019-04-24,HOU,Verlander
2019-04-24,NYY,Sabathia
2019-04-24,LAA,Bedrosian
2019-04-24,MIA,Alcantara
2019-04-24,CLE,Rodriguez
2019-04-24,SEA,Hernandez
2019-04-24,SDG,Paddack
2019-04-24,SFO,Pomeranz
2019-04-24,TOR,Buchholz
2019-04-25,ARI,Greinke
2019-04-25,PIT,Taillon
2019-04-25,LAD,Stripling
2019-04-25,CUB,Lester
2019-04-25,ATL,Teheran
2019-04-25,CIN,Castillo
